latitude,longitude,geometry,OBJECTID_1,OBJECTID,NAMA,JENIS,KELURAHAN,KECAMATAN,KOTA_ADMIN
-6.135716503,106.7019335,Point,105,245,SD/SMP CITRA KASIH,SEKOLAH / BANGUNAN PENDIDIKAN,PEGADUNGAN,KALIDERES,JAKARTA BARAT
-6.127231446,106.695153,Point,106,255,YAYASAN NURUL JANNAH AL-ISLAMIYYAH,SEKOLAH / BANGUNAN PENDIDIKAN,PEGADUNGAN,KALIDERES,JAKARTA BARAT
-6.132282437,106.6911564,Point,107,256,ANANDA ISLAMIC SCHOOL,SEKOLAH / BANGUNAN PENDIDIKAN,PEGADUNGAN,KALIDERES,JAKARTA BARAT
-6.130185395,106.6963135,Point,108,263,YAYASAN FAJRUL ISLAM,SEKOLAH / BANGUNAN PENDIDIKAN,PEGADUNGAN,KALIDERES,JAKARTA BARAT
-6.129925506,106.7079479,Point,109,267,SEKOLAH MAHABODHI VIDYA,SEKOLAH / BANGUNAN PENDIDIKAN,PEGADUNGAN,KALIDERES,JAKARTA BARAT
-6.135028233,106.7055403,Point,110,271,SEKOLAH MENTARI,SEKOLAH / BANGUNAN PENDIDIKAN,PEGADUNGAN,KALIDERES,JAKARTA BARAT
-6.137078072,106.7041182,Point,111,272,SD - SLTP KEMURNIAN III,SEKOLAH / BANGUNAN PENDIDIKAN,PEGADUNGAN,KALIDERES,JAKARTA BARAT
-6.137501703,106.7055401,Point,112,273,TK KEMURNIAN III,SEKOLAH / BANGUNAN PENDIDIKAN,PEGADUNGAN,KALIDERES,JAKARTA BARAT
-6.140919939,106.7053278,Point,113,276,PAUD DAN TK AT-TAHRIAH,SEKOLAH / BANGUNAN PENDIDIKAN,PEGADUNGAN,KALIDERES,JAKARTA BARAT
-6.141191369,106.7052885,Point,114,277,SMK PGRI 36 JAKARTA,SEKOLAH / BANGUNAN PENDIDIKAN,PEGADUNGAN,KALIDERES,JAKARTA BARAT
-6.145843295,106.7045207,Point,115,282,SD NEGERI KALIDERES 12 PAGI,SEKOLAH / BANGUNAN PENDIDIKAN,KALIDERES,KALIDERES,JAKARTA BARAT
-6.147298556,106.7030416,Point,116,283,SMK JAKARTA 1,SEKOLAH / BANGUNAN PENDIDIKAN,KALIDERES,KALIDERES,JAKARTA BARAT
-6.15256083,106.7046405,Point,117,292,KB DAN TK DARUS SALAM,SEKOLAH / BANGUNAN PENDIDIKAN,KALIDERES,KALIDERES,JAKARTA BARAT
-6.152747379,106.7051908,Point,118,293,"RA &MI TAMMAS, SMP TERPADU, SMK SYANGGIT CENDIKIA",SEKOLAH / BANGUNAN PENDIDIKAN,KALIDERES,KALIDERES,JAKARTA BARAT
-6.152352554,106.7055873,Point,119,294,SD MUSLIMAT,SEKOLAH / BANGUNAN PENDIDIKAN,KALIDERES,KALIDERES,JAKARTA BARAT
-6.154214102,106.7041283,Point,120,296,"SDN KALIDERES 01 & 03 PAGI, 02 & 04 PETANG",SEKOLAH / BANGUNAN PENDIDIKAN,KALIDERES,KALIDERES,JAKARTA BARAT
